10.1.6.86 - - [08/Nov/2017:10:28:14 +0800] "GET /tomcat.css HTTP/1.1" 200 5931
10.1.6.86 - - [08/Nov/2017:10:28:14 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
10.1.6.86 - - [08/Nov/2017:10:28:14 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
10.1.6.86 - - [08/Nov/2017:10:28:14 +0800] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
10.1.6.86 - - [08/Nov/2017:10:28:14 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
10.1.6.86 - - [08/Nov/2017:10:28:14 +0800] "GET /bg-button.png HTTP/1.1" 200 713
10.1.6.86 - - [08/Nov/2017:10:28:14 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
10.1.6.86 - - [08/Nov/2017:10:28:15 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
10.1.6.86 - - [08/Nov/2017:10:28:34 +0800] "GET /SSM HTTP/1.1" 302 -
10.1.6.86 - - [08/Nov/2017:10:28:34 +0800] "GET /SSM/ HTTP/1.1" 200 4226
10.1.6.86 - - [08/Nov/2017:10:28:38 +0800] "GET /SSM/analyse/dataAnalyse/sinaEditor.jsp HTTP/1.1" 200 8446
